smiles
CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F
CC(C)(COC1=CN2C(=C(C=N2)C#N)C(=C1)C3=CN=C(C=C3)N4CC5CC(C4)N5CC6=CN=C(C=C6)OC)O
CCN1C2=CC(=NC=C2C=C(C1=O)C3=CC(=C(C=C3Br)F)NC(=O)NC4=CC=CC=C4)NC
C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)[18F])CCC4=C3C=CC(=C4)O
C1=CC2=C(C=C1C3=CN=C(C=C3)[18F])NC4=C2C=NC=C4
COC1=C2OC3=CC=C(C[C@@H]4N(C)CCC5=CC6=C(OCO6)C(OC6=C(OC)C=C7CCN(C)[C@H](CC(C=C1)=C2)C7=C6)=C45)C=C3
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@](C#N)([C@H](O)[C@@H]1O)C1=CC=C2N1N=CN=C2N)OC1=CC=CC=C1
CC(C)C(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(NO)=NC1=O
CNCC1=CC=C(C=C1)C1=CC2=C(O1)C(=CC(F)=C2)C(N)=O
COC1=CC(NC2=NC(NC3=CC=C4OC(C)(C)C(=O)N(COP(O)(O)=O)C4=N3)=C(F)C=N2)=CC(OC)=C1OC
CN(C(=O)C(C)(C)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CN=C(C=C1C1=C(C)C=CC=C1)N1CC[N+](C)(COP(O)(O)=O)CC1
OC(=O)C1CCN(CC1)C1=NC=C(C=C1Cl)C(=O)NC1=NC(C2=CC(Cl)=CS2)=C(S1)N1CCN(CC1)C1CCCCC1
CC#CC(=O)N1CCC[C@H]1C1=NC(=C2N1C=CN=C2N)C1=CC=C(C=C1)C(=O)NC1=CC=CC=N1
O[C@H](CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)OCCCCO[N+]([O-])=O)CCC1=CC=CC=C1
COC1=CC=CC(=C1)N1CCN(CC1)C1=NC2=C(C=CC=C2F)[C@H](CC(O)=O)N1C1=C(OC)C=CC(=C1)C(F)(F)F
OB1O[C@H](CC(O)=O)CC[C@@H]1NC(=O)CC1=CC=CS1
C[C@H](CCl)CN1C(C)=NC=C1[N+]([O-])=O
CC1=NC=C(N1CC(O)CN1CCOCC1)[N+]([O-])=O
OC[C@H]1N[C@H]([C@H](O)[C@@H]1O)C1=CNC2=C1NC=NC2=O
CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1
CN1C=C(C=N1)C1=CN2N=CN=C(N3CCN(CC3)C3=NC=C(C=N3)[C@@](C)(N)C3=CC=C(F)C=C3)C2=C1
